author_id,name,fields_of_study,publication_count,h_index,citation_count,avg_self_similarity,std_self_similarity
A5106511527,A. Warburton,Physics and Astronomy,2588,155,134221,,
A5033176455,M. F. Watson,Physics and Astronomy,1510,127,85709,,
A5114374383,M. S. Neubauer,Physics and Astronomy,1267,124,81762,,
A5107858214,A. Robichaud-Véronneau,Physics and Astronomy,597,112,48218,,
A5074282005,M. Dobbs,Physics and Astronomy,728,109,66535,,
A5107939422,S. H. Robertson,Physics and Astronomy,430,103,35526,,
A5027865003,Y. Amaral Coutinho,Physics and Astronomy,928,102,40256,,
A5038370602,D. Robinson,Physics and Astronomy,901,94,49011,,
A5027049696,S. Stärz,Physics and Astronomy,807,90,36386,,
A5107862603,A. J. Chuinard,Physics and Astronomy,391,89,30137,,
A5069227312,J. W. T. Hessels,Physics and Astronomy,514,82,35449,,
A5107268315,C. Arnault,Physics and Astronomy,284,81,38116,,
A5105710504,R. Mantifel,Physics and Astronomy,281,80,20256,,
A5106480820,R. A. Keyes,Physics and Astronomy,253,78,19334,,
A5015264623,S. H. Robertson,Physics and Astronomy,728,77,26357,,
A5102810576,Yi‐Ting Wang,Earth and Planetary Sciences; Environmental Science; Physics and Astronomy,19173,77,27613,,
A5107030371,M. Stoebe,Physics and Astronomy,250,77,18907,,
A5107827693,X. Li,Physics and Astronomy,284,77,17735,,
A5100710286,Timothy J. Lee,Physics and Astronomy; Earth and Planetary Sciences; Chemistry,458,76,20871,,
A5007285706,Hojatollah Vali,"Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences; Physics and Astronomy",356,75,17620,,
A5105781511,M. Klemetti,Physics and Astronomy,246,72,17192,,
A5018233846,Robert Brandenberger,Physics and Astronomy,529,70,19279,,
A5110254517,Robert F. Hess,Neuroscience; Medicine; Physics and Astronomy,422,67,14968,,
A5015974181,Charles Gale,Physics and Astronomy,486,65,17060,,
A5108070380,E. Schmidt,Physics and Astronomy,164,63,11464,,
A5007584535,B. Stelzer,Physics and Astronomy,710,63,16803,,
A5107834009,D. MacQueen,Physics and Astronomy,227,63,18002,,
A5002143962,Jonathan Sievers,Physics and Astronomy,252,61,13687,,
A5059133010,Mike Strauss,"Biochemistry, Genetics and Molecular Biology; Medicine; Physics and Astronomy",236,60,13711,,
A5014426396,James H. Clark,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy; Environmental Science",323,60,12981,,
A5026791955,Michael C. Mackey,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy; Computer Science",346,59,18860,,
A5081521149,D. A. Williams,Physics and Astronomy,457,58,12324,,
A5027352146,A. Canesse,Physics and Astronomy,471,57,14705,,
A5074325241,P. T. Reynolds,Physics and Astronomy,242,56,10505,,
A5107911424,C. L. Silva,Physics and Astronomy; Engineering; Mathematics,115,55,12233,,
A5004547069,James Wang,Engineering; Physics and Astronomy; Dentistry,273,55,11787,,
A5011722221,M. C. Lin,Physics and Astronomy; Earth and Planetary Sciences; Materials Science,448,54,11089,,
A5012051817,James M. Cline,Physics and Astronomy; Computer Science,278,54,9234,,
A5042853817,Stuart Raby,Physics and Astronomy,299,54,28911,,
A5086036279,Lyle G. Whyte,Environmental Science; Earth and Planetary Sciences; Physics and Astronomy,230,53,10281,,
A5081818835,Peter Grütter,Physics and Astronomy; Engineering,289,53,11430,,
A5040229398,A. Cumming,Physics and Astronomy; Earth and Planetary Sciences,351,53,13990,,
A5008641071,P. Steinberg,Physics and Astronomy,588,52,15865,,
A5111410808,R. Snihur,Physics and Astronomy,179,52,8151,,
A5107871453,M. Stoebe,Physics and Astronomy,89,52,8815,,
A5065462266,R. F. Lang,Physics and Astronomy,204,52,13258,,
A5057793883,Sangyong Jeon,Physics and Astronomy,337,52,12764,,
A5030374530,J. L. Ritchie,Physics and Astronomy,340,52,10842,,
A5013292433,Jan Seuntjens,Physics and Astronomy; Medicine,584,51,11966,,
A5115591004,X. Li,Physics and Astronomy,249,51,19047,,
A5111514171,Christoph Amelung,Physics and Astronomy,273,50,7445,,
A5107902673,T. Kwan,Physics and Astronomy,111,49,6887,,
A5084582740,H. J. Stelzer,Physics and Astronomy,393,48,12630,,
A5080230991,David V. Plant,Engineering; Physics and Astronomy,759,48,10003,,
A5110186505,P. Steinberg,Physics and Astronomy,199,48,7915,,
A5107829704,R. Mantifel,Physics and Astronomy,94,48,8404,,
A5046009193,Peter Watson,Medicine; Physics and Astronomy,226,48,9155,,
A5039507175,Nicolas B. Cowan,Physics and Astronomy; Engineering,341,48,9174,,
A5079264223,James J. Clark,Computer Science; Neuroscience; Physics and Astronomy,458,46,11442,,
A5105696575,R. Mantifel,Physics and Astronomy,91,46,7668,,
A5107830278,M. Stoebe,Physics and Astronomy,93,46,6816,,
A5041655185,Yuhong Fan,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology",293,46,6595,,
A5105369947,G. Stavropoulos,Physics and Astronomy,324,46,10203,,
A5084382627,Mark Sutton,Physics and Astronomy; Materials Science; Earth and Planetary Sciences,223,45,6341,,
A5004651618,Yihan Shao,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology; Materials Science",298,45,14378,,
A5060154331,Maurice J. Chacron,Neuroscience; Environmental Science; Physics and Astronomy,220,44,5853,,
A5113652880,J. O. Ström‐Olsen,Engineering; Physics and Astronomy; Materials Science,229,44,9477,,
A5113643522,J. Barrette,Physics and Astronomy,236,44,11143,,
A5110266329,Carolyn Freeman,Medicine; Physics and Astronomy,253,44,9921,,
A5111554015,M.T. Grisaru,Physics and Astronomy,138,44,8541,,
A5029517342,David Roberge,Medicine; Physics and Astronomy,360,44,12305,,
A5062249350,E. Valdes Santurio,Physics and Astronomy,364,44,7112,,
A5115597944,W. S. Ahmed,Physics and Astronomy,433,43,8380,,
A5077466314,Martin Lepage,Medicine; Physics and Astronomy,186,43,7208,,
A5024496053,M. Robin,Physics and Astronomy,215,43,5895,,
A5061723548,T. Brunner,Physics and Astronomy,273,43,5965,,
A5012476338,D. H. Ryan,Physics and Astronomy; Materials Science,423,42,7335,,
A5013887346,Lei Tian,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology; Computer Science",430,42,7364,,
A5107833350,D. Mangeol,Physics and Astronomy,214,42,12541,,
A5036032663,Satya Prakash,Environmental Science; Physics and Astronomy; Earth and Planetary Sciences,269,42,6042,,
A5030178050,S. Harper,Physics and Astronomy,425,41,5946,,
A5071630545,B. Zitzer,Physics and Astronomy,109,41,4800,,
A5068908155,J. D. Holt,Physics and Astronomy,213,41,6810,,
A5022485637,Eric D. Kolaczyk,"Physics and Astronomy; Biochemistry, Genetics and Molecular Biology; Mathematics",244,41,7635,,
A5032796381,Mark P. Andrews,Engineering; Physics and Astronomy; Chemistry,268,41,4411,,
A5009753666,Slobodan Dević,Physics and Astronomy; Medicine,276,41,5526,,
A5015982549,Patanjali Kambhampati,Materials Science; Engineering; Physics and Astronomy,135,41,9576,,
A5110077387,Kathy T. Mullen,Neuroscience; Physics and Astronomy; Psychology,159,40,5320,,
A5005858438,Lawrence R. Chen,Physics and Astronomy; Engineering,573,40,5714,,
A5047622900,Tao Liu,Physics and Astronomy; Engineering,631,40,7008,,
A5089121337,Michael Harris,Environmental Science; Engineering; Physics and Astronomy,183,40,4950,,
A5105695988,D. Robinson,Physics and Astronomy,84,40,6371,,
A5056337685,Z. Altounian,Materials Science; Engineering; Physics and Astronomy,271,40,5873,,
A5068822568,Prakash Panangaden,Computer Science; Physics and Astronomy,296,40,6917,,
A5049946864,R. Hulsken,Physics and Astronomy,381,39,5480,,
